x(m), y(m), heading(deg)
43.466, 10.567, -177.81
43.365, 10.563, -176.65
43.264, 10.557, -175.50
43.164, 10.549, -174.34
43.063, 10.539, -173.18
42.963, 10.527, -172.02
42.863, 10.513, -170.86
42.763, 10.497, -169.70
42.663, 10.479, -168.55
42.564, 10.459, -167.39
42.466, 10.437, -166.23
42.368, 10.413, -165.07
42.270, 10.387, -163.91
42.173, 10.359, -162.75
42.076, 10.329, -161.60
41.980, 10.297, -160.44
41.885, 10.263, -159.28
41.791, 10.228, -158.12
41.697, 10.190, -156.96
41.604, 10.150, -155.81
41.512, 10.109, -154.65
41.420, 10.066, -153.49
41.330, 10.020, -152.33
41.240, 9.974, -151.17
41.152, 9.925, -150.01
41.064, 9.874, -148.86
40.978, 9.822, -147.70
40.892, 9.768, -146.54
40.808, 9.712, -145.38
40.725, 9.655, -144.22
40.643, 9.596, -143.06
40.562, 9.535, -141.91
40.482, 9.473, -140.75
40.404, 9.409, -139.59
40.327, 9.343, -138.43
40.252, 9.276, -137.27
40.177, 9.208, -136.12
40.104, 9.137, -134.96
40.033, 9.066, -133.80
39.963, 8.993, -132.64
39.895, 8.919, -131.48
39.828, 8.843, -130.32
39.762, 8.766, -129.17
39.698, 8.688, -128.01
39.636, 8.608, -126.85
39.576, 8.527, -125.69
39.517, 8.445, -124.53
39.459, 8.362, -123.37
39.404, 8.277, -122.22
39.350, 8.192, -121.06
39.298, 8.105, -119.90
39.247, 8.018, -118.74
39.199, 7.929, -117.58
39.152, 7.839, -116.42
39.107, 7.749, -115.27
39.064, 7.657, -114.11
39.022, 7.565, -112.95
38.983, 7.472, -111.79
38.946, 7.378, -110.63
38.910, 7.284, -109.48
38.876, 7.188, -108.32
38.844, 7.092, -107.16
38.815, 6.996, -106.00
38.787, 6.899, -104.84
38.761, 6.801, -103.68
38.737, 6.703, -102.53
38.715, 6.604, -101.37
38.695, 6.505, 171.77
7.878, 10.963, -81.82
8.590, 6.014, 2.89
90.000, 10.118, 180.00
5.000, 10.118, 5.39
49.577, 14.325, -83.36
49.588, 14.225, -82.19
49.602, 14.124, -81.03
49.618, 14.024, -79.87
49.636, 13.925, -78.71
49.656, 13.825, -77.55
49.677, 13.726, -76.39
49.701, 13.628, -75.23
49.727, 13.530, -74.07
49.755, 13.432, -72.91
49.785, 13.336, -71.74
49.816, 13.239, -70.58
49.850, 13.144, -69.42
49.886, 13.049, -68.26
49.923, 12.955, -67.10
49.963, 12.862, -65.94
50.004, 12.769, -64.78
50.047, 12.677, -63.62
50.092, 12.587, -62.46
50.139, 12.497, -61.29
50.188, 12.408, -60.13
50.238, 12.320, -58.97
50.290, 12.233, -57.81
50.344, 12.147, -56.65
50.400, 12.063, -55.49
50.457, 11.979, -54.33
50.517, 11.897, -53.17
50.577, 11.816, -52.01
50.640, 11.736, -50.85
50.704, 11.657, -49.68
50.769, 11.580, -48.52
50.836, 11.504, -47.36
50.905, 11.430, -46.20
50.975, 11.357, -45.04
51.047, 11.285, -43.88
51.120, 11.215, -42.72
51.194, 11.146, -41.56
51.270, 11.079, -40.40
51.347, 11.013, -39.23
51.426, 10.949, -38.07
51.505, 10.887, -36.91
51.586, 10.826, -35.75
51.669, 10.766, -34.59
51.752, 10.709, -33.43
51.837, 10.653, -32.27
51.922, 10.599, -31.11
52.009, 10.547, -29.95
52.097, 10.496, -28.79
52.186, 10.447, -27.62
52.275, 10.400, -26.46
52.366, 10.355, -25.30
52.458, 10.312, -24.14
52.550, 10.270, -22.98
52.643, 10.231, -21.82
52.737, 10.193, -20.66
52.832, 10.158, -19.50
52.928, 10.124, -18.34
53.024, 10.092, -17.17
53.121, 10.062, -16.01
53.218, 10.034, -14.85
53.316, 10.008, -13.69
53.415, 9.984, -12.53
53.513, 9.962, -11.37
53.613, 9.942, -10.21
53.712, 9.924, -9.05
53.813, 9.908, -7.89
53.913, 9.894, -6.72
54.014, 9.882, -5.56
54.114, 9.873, -4.40
54.215, 9.865, -3.24
54.317, 9.859, -2.08
54.418, 9.855, -0.92
54.519, 9.854, 0.24
54.620, 9.854, 1.40
54.722, 9.857, 2.56
54.823, 9.861, 3.72
54.924, 9.868, 4.89
55.025, 9.876, 6.05
55.126, 9.887, 7.21
55.226, 9.900, 8.37
55.327, 9.915, 9.53
55.426, 9.931, 10.69
55.526, 9.950, 11.85
55.625, 9.971, 13.01
55.724, 9.994, 14.17
55.822, 10.019, 15.34
55.920, 10.045, 16.50
56.017, 10.074, 17.66
56.114, 10.105, 18.82
56.209, 10.138, 19.98
56.305, 10.172, 21.14
56.399, 10.209, 22.30
56.493, 10.247, 23.46
56.586, 10.287, 24.62
56.678, 10.330, 25.79
56.769, 10.374, 26.95
56.859, 10.420, 28.11
56.949, 10.467, 29.27
57.037, 10.517, 30.43
57.125, 10.568, 31.59
57.211, 10.621, 32.75
57.296, 10.676, 33.91
57.380, 10.733, 35.07
57.463, 10.791, 36.23
57.545, 10.851, 37.40
57.625, 10.912, 38.56
57.705, 10.975, 39.72
57.783, 11.040, 40.88
57.859, 11.107, 42.04
57.934, 11.174, 43.20
58.008, 11.244, 44.36
58.081, 11.315, 45.52
58.152, 11.387, 46.68
58.221, 11.461, 47.85
58.289, 11.536, 49.01
58.356, 11.612, 50.17
58.421, 11.690, 51.33
58.484, 11.769, 52.49
58.546, 11.849, 53.65
58.606, 11.931, 54.81
58.664, 12.014, 55.97
58.721, 12.098, 57.13
58.776, 12.183, 58.29
58.829, 12.269, 59.46
58.880, 12.356, 60.62
58.930, 12.445, 61.78
58.978, 12.534, 62.94
59.024, 12.624, 64.10
59.068, 12.715, 65.26
59.111, 12.807, 66.42
59.151, 12.900, 67.58
59.190, 12.994, 68.74
59.227, 13.088, 69.91
59.261, 13.183, 71.07
59.294, 13.279, 72.23
59.325, 13.376, 73.39
59.354, 13.473, 74.55
59.381, 13.571, 75.71
59.406, 13.669, 76.87
59.429, 13.767, 78.03
59.450, 13.867, 79.19
59.469, 13.966, 80.36
59.486, 14.066, 81.52
59.501, 14.166, 82.68
59.514, 14.267, -3.40
92.122, 12.331, 98.18
91.410, 17.280, -177.11
10.000, 13.176, 0.00
92.000, 13.176, -178.31
48.602, 11.898, 93.00
48.597, 11.999, 94.16
48.590, 12.100, 95.32
48.580, 12.200, 96.48
48.569, 12.301, 97.64
48.555, 12.401, 98.79
48.540, 12.501, 99.95
48.522, 12.601, 101.11
48.503, 12.700, 102.27
48.482, 12.798, 103.43
48.458, 12.897, 104.59
48.433, 12.995, 105.74
48.405, 13.092, 106.90
48.376, 13.189, 108.06
48.344, 13.285, 109.22
48.311, 13.380, 110.38
48.276, 13.475, 111.53
48.239, 13.569, 112.69
48.200, 13.662, 113.85
48.159, 13.755, 115.01
48.116, 13.846, 116.17
48.072, 13.937, 117.33
48.025, 14.027, 118.48
47.977, 14.116, 119.64
47.927, 14.203, 120.80
47.875, 14.290, 121.96
47.822, 14.376, 123.12
47.767, 14.461, 124.28
47.710, 14.544, 125.43
47.651, 14.627, 126.59
47.591, 14.708, 127.75
47.529, 14.788, 128.91
47.466, 14.866, 130.07
47.400, 14.944, 131.22
47.334, 15.020, 132.38
47.266, 15.094, 133.54
47.196, 15.168, 134.70
47.125, 15.239, 135.86
47.052, 15.310, 137.02
46.979, 15.379, 138.17
46.903, 15.446, 139.33
46.827, 15.512, 140.49
46.749, 15.576, 141.65
46.669, 15.639, 142.81
46.589, 15.700, 143.97
46.507, 15.760, 145.12
46.424, 15.817, 146.28
46.340, 15.873, 147.44
46.255, 15.928, 148.60
46.169, 15.980, 149.76
46.081, 16.031, 150.92
45.993, 16.081, 152.07
45.904, 16.128, 153.23
45.813, 16.173, 154.39
45.722, 16.217, 155.55
45.630, 16.259, 156.71
45.537, 16.299, 157.86
45.444, 16.337, 159.02
45.349, 16.373, 160.18
45.254, 16.407, 161.34
45.159, 16.440, 162.50
45.062, 16.470, 163.66
44.965, 16.499, 164.81
44.868, 16.525, 165.97
44.770, 16.550, 167.13
44.671, 16.572, 168.29
44.572, 16.593, 169.45
44.473, 16.611, 170.61
44.373, 16.628, 171.76
44.273, 16.642, 172.92
44.173, 16.655, 174.08
44.072, 16.665, 175.24
43.971, 16.673, 176.40
43.871, 16.680, 177.55
43.770, 16.684, 178.71
43.668, 16.686, 179.87
43.567, 16.687, -178.97
43.466, 16.685, -177.81
43.365, 16.681, -176.65
43.264, 16.675, -175.50
43.164, 16.667, -174.34
43.063, 16.657, -173.18
