x(m), y(m), heading(deg)
57.125, 22.804, 31.59
57.211, 22.857, 32.75
57.296, 22.911, 33.91
57.380, 22.968, 35.07
57.463, 23.026, 36.23
57.545, 23.086, 37.40
57.625, 23.148, 38.56
57.705, 23.211, 39.72
57.783, 23.276, 40.88
57.859, 23.342, 42.04
57.934, 23.410, 43.20
58.008, 23.479, 44.36
58.081, 23.550, 45.52
58.152, 23.622, 46.68
58.221, 23.696, 47.85
58.289, 23.771, 49.01
58.356, 23.847, 50.17
58.421, 23.925, 51.33
58.484, 24.004, 52.49
58.546, 24.085, 53.65
58.606, 24.166, 54.81
58.664, 24.249, 55.97
58.721, 24.333, 57.13
58.776, 24.418, 58.29
58.829, 24.504, 59.46
58.880, 24.592, 60.62
58.930, 24.680, 61.78
58.978, 24.769, 62.94
59.024, 24.860, 64.10
59.068, 24.951, 65.26
59.111, 25.043, 66.42
59.151, 25.136, 67.58
59.190, 25.229, 68.74
59.227, 25.324, 69.91
59.261, 25.419, 71.07
59.294, 25.515, 72.23
59.325, 25.611, 73.39
59.354, 25.708, 74.55
59.381, 25.806, 75.71
59.406, 25.904, 76.87
59.429, 26.003, 78.03
59.450, 26.102, 79.19
59.469, 26.201, 80.36
59.486, 26.301, 81.52
59.501, 26.401, 82.68
59.514, 26.502, -3.40
92.122, 24.567, 98.18
91.410, 29.516, -177.11
10.000, 25.412, 0.00
92.000, 25.412, -178.31
48.602, 24.133, 93.00
48.597, 24.234, 94.16
48.590, 24.335, 95.32
48.580, 24.436, 96.48
48.569, 24.536, 97.64
48.555, 24.636, 98.79
48.540, 24.736, 99.95
48.522, 24.836, 101.11
48.503, 24.935, 102.27
48.482, 25.034, 103.43
48.458, 25.132, 104.59
48.433, 25.230, 105.74
48.405, 25.327, 106.90
48.376, 25.424, 108.06
48.344, 25.520, 109.22
48.311, 25.615, 110.38
48.276, 25.710, 111.53
48.239, 25.804, 112.69
48.200, 25.897, 113.85
48.159, 25.990, 115.01
48.116, 26.081, 116.17
48.072, 26.172, 117.33
48.025, 26.262, 118.48
47.977, 26.351, 119.64
47.927, 26.439, 120.80
47.875, 26.526, 121.96
47.822, 26.611, 123.12
47.767, 26.696, 124.28
47.710, 26.779, 125.43
47.651, 26.862, 126.59
47.591, 26.943, 127.75
47.529, 27.023, 128.91
47.466, 27.102, 130.07
47.400, 27.179, 131.22
47.334, 27.255, 132.38
47.266, 27.330, 133.54
47.196, 27.403, 134.70
47.125, 27.475, 135.86
47.052, 27.545, 137.02
46.979, 27.614, 138.17
46.903, 27.681, 139.33
46.827, 27.747, 140.49
46.749, 27.812, 141.65
46.669, 27.874, 142.81
46.589, 27.935, 143.97
46.507, 27.995, 145.12
46.424, 28.053, 146.28
46.340, 28.109, 147.44
46.255, 28.163, 148.60
46.169, 28.216, 149.76
46.081, 28.267, 150.92
45.993, 28.316, 152.07
45.904, 28.363, 153.23
45.813, 28.409, 154.39
45.722, 28.452, 155.55
45.630, 28.494, 156.71
45.537, 28.534, 157.86
45.444, 28.572, 159.02
45.349, 28.608, 160.18
45.254, 28.643, 161.34
45.159, 28.675, 162.50
45.062, 28.705, 163.66
44.965, 28.734, 164.81
44.868, 28.760, 165.97
44.770, 28.785, 167.13
44.671, 28.807, 168.29
44.572, 28.828, 169.45
44.473, 28.846, 170.61
44.373, 28.863, 171.76
44.273, 28.877, 172.92
44.173, 28.890, 174.08
44.072, 28.900, 175.24
43.971, 28.909, 176.40
43.871, 28.915, 177.55
43.770, 28.919, 178.71
43.668, 28.922, 179.87
43.567, 28.922, -178.97
43.466, 28.920, -177.81
43.365, 28.916, -176.65
43.264, 28.910, -175.50
43.164, 28.902, -174.34
43.063, 28.892, -173.18
42.963, 28.880, -172.02
42.863, 28.866, -170.86
42.763, 28.850, -169.70
42.663, 28.832, -168.55
42.564, 28.812, -167.39
42.466, 28.790, -166.23
42.368, 28.766, -165.07
42.270, 28.740, -163.91
42.173, 28.712, -162.75
42.076, 28.682, -161.60
41.980, 28.650, -160.44
41.885, 28.616, -159.28
41.791, 28.580, -158.12
41.697, 28.543, -156.96
41.604, 28.503, -155.81
41.512, 28.462, -154.65
41.420, 28.419, -153.49
41.330, 28.373, -152.33
41.240, 28.326, -151.17
41.152, 28.278, -150.01
41.064, 28.227, -148.86
40.978, 28.175, -147.70
40.892, 28.121, -146.54
40.808, 28.065, -145.38
40.725, 28.008, -144.22
40.643, 27.949, -143.06
40.562, 27.888, -141.91
40.482, 27.826, -140.75
40.404, 27.762, -139.59
40.327, 27.696, -138.43
40.252, 27.629, -137.27
40.177, 27.560, -136.12
40.104, 27.490, -134.96
40.033, 27.419, -133.80
39.963, 27.346, -132.64
39.895, 27.272, -131.48
39.828, 27.196, -130.32
39.762, 27.119, -129.17
39.698, 27.040, -128.01
39.636, 26.961, -126.85
39.576, 26.880, -125.69
39.517, 26.798, -124.53
39.459, 26.715, -123.37
39.404, 26.630, -122.22
39.350, 26.545, -121.06
39.298, 26.458, -119.90
39.247, 26.370, -118.74
39.199, 26.282, -117.58
39.152, 26.192, -116.42
39.107, 26.102, -115.27
39.064, 26.010, -114.11
39.022, 25.918, -112.95
38.983, 25.825, -111.79
38.946, 25.731, -110.63
38.910, 25.637, -109.48
38.876, 25.541, -108.32
38.844, 25.445, -107.16
38.815, 25.349, -106.00
38.787, 25.252, -104.84
38.761, 25.154, -103.68
38.737, 25.056, -102.53
38.715, 24.957, -101.37
38.695, 24.858, 171.77
7.878, 29.316, -81.82
8.590, 24.367, 2.89
90.000, 28.471, 180.00
5.000, 28.471, 5.39
49.577, 32.678, -83.36
49.588, 32.578, -82.19
49.602, 32.477, -81.03
49.618, 32.377, -79.87
49.636, 32.278, -78.71
49.656, 32.178, -77.55
49.677, 32.079, -76.39
49.701, 31.981, -75.23
49.727, 31.883, -74.07
49.755, 31.785, -72.91
49.785, 31.689, -71.74
49.816, 31.592, -70.58
49.850, 31.497, -69.42
49.886, 31.402, -68.26
49.923, 31.308, -67.10
49.963, 31.214, -65.94
50.004, 31.122, -64.78
50.047, 31.030, -63.62
50.092, 30.939, -62.46
50.139, 30.850, -61.29
50.188, 30.761, -60.13
50.238, 30.673, -58.97
50.290, 30.586, -57.81
50.344, 30.500, -56.65
50.400, 30.416, -55.49
50.457, 30.332, -54.33
50.517, 30.250, -53.17
50.577, 30.169, -52.01
50.640, 30.089, -50.85
50.704, 30.010, -49.68
50.769, 29.933, -48.52
50.836, 29.857, -47.36
50.905, 29.783, -46.20
50.975, 29.710, -45.04
51.047, 29.638, -43.88
51.120, 29.568, -42.72
51.194, 29.499, -41.56
51.270, 29.432, -40.40
51.347, 29.366, -39.23
51.426, 29.302, -38.07
51.505, 29.239, -36.91
51.586, 29.179, -35.75
51.669, 29.119, -34.59
51.752, 29.062, -33.43
51.837, 29.006, -32.27
51.922, 28.952, -31.11
52.009, 28.900, -29.95
52.097, 28.849, -28.79
52.186, 28.800, -27.62
52.275, 28.753, -26.46
52.366, 28.708, -25.30
52.458, 28.665, -24.14
52.550, 28.623, -22.98
52.643, 28.584, -21.82
52.737, 28.546, -20.66
52.832, 28.510, -19.50
52.928, 28.477, -18.34
53.024, 28.445, -17.17
53.121, 28.415, -16.01
53.218, 28.387, -14.85
53.316, 28.361, -13.69
53.415, 28.337, -12.53
53.513, 28.315, -11.37
53.613, 28.295, -10.21
53.712, 28.277, -9.05
53.813, 28.261, -7.89
53.913, 28.247, -6.72
54.014, 28.235, -5.56
54.114, 28.226, -4.40
54.215, 28.218, -3.24
54.317, 28.212, -2.08
54.418, 28.208, -0.92
54.519, 28.207, 0.24
54.620, 28.207, 1.40
54.722, 28.210, 2.56
54.823, 28.214, 3.72
54.924, 28.221, 4.89
55.025, 28.229, 6.05
55.126, 28.240, 7.21
55.226, 28.253, 8.37
55.327, 28.267, 9.53
55.426, 28.284, 10.69
55.526, 28.303, 11.85
55.625, 28.324, 13.01
55.724, 28.347, 14.17
55.822, 28.371, 15.34
55.920, 28.398, 16.50
56.017, 28.427, 17.66
56.114, 28.458, 18.82
56.209, 28.490, 19.98
56.305, 28.525, 21.14
56.399, 28.562, 22.30
56.493, 28.600, 23.46
56.586, 28.640, 24.62
56.678, 28.683, 25.79
56.769, 28.727, 26.95
56.859, 28.773, 28.11
56.949, 28.820, 29.27
57.037, 28.870, 30.43
57.125, 28.921, 31.59
57.211, 28.974, 32.75
57.296, 29.029, 33.91
57.380, 29.086, 35.07
57.463, 29.144, 36.23
57.545, 29.204, 37.40
57.625, 29.265, 38.56
57.705, 29.328, 39.72
57.783, 29.393, 40.88
57.859, 29.459, 42.04
57.934, 29.527, 43.20
58.008, 29.597, 44.36
58.081, 29.668, 45.52
58.152, 29.740, 46.68
58.221, 29.814, 47.85
58.289, 29.889, 49.01
58.356, 29.965, 50.17
58.421, 30.043, 51.33
58.484, 30.122, 52.49
58.546, 30.202, 53.65
58.606, 30.284, 54.81
58.664, 30.367, 55.97
58.721, 30.451, 57.13
58.776, 30.536, 58.29
58.829, 30.622, 59.46
58.880, 30.709, 60.62
58.930, 30.798, 61.78
58.978, 30.887, 62.94
59.024, 30.977, 64.10
59.068, 31.068, 65.26
59.111, 31.160, 66.42
59.151, 31.253, 67.58
59.190, 31.347, 68.74
59.227, 31.441, 69.91
59.261, 31.536, 71.07
59.294, 31.632, 72.23
59.325, 31.729, 73.39
59.354, 31.826, 74.55
59.381, 31.924, 75.71
59.406, 32.022, 76.87
59.429, 32.120, 78.03
59.450, 32.219, 79.19
59.469, 32.319, 80.36
59.486, 32.419, 81.52
59.501, 32.519, 82.68
59.514, 32.620, -3.40
92.122, 30.684, 98.18
91.410, 35.633, -177.11
10.000, 31.529, 0.00
92.000, 31.529, -178.31
48.602, 30.251, 93.00
48.597, 30.352, 94.16
48.590, 30.453, 95.32
48.580, 30.553, 96.48
48.569, 30.654, 97.64
48.555, 30.754, 98.79
48.540, 30.854, 99.95
48.522, 30.953, 101.11
48.503, 31.053, 102.27
48.482, 31.151, 103.43
48.458, 31.250, 104.59
48.433, 31.348, 105.74
48.405, 31.445, 106.90
48.376, 31.542, 108.06
48.344, 31.638, 109.22
48.311, 31.733, 110.38
48.276, 31.828, 111.53
48.239, 31.922, 112.69
48.200, 32.015, 113.85
48.159, 32.108, 115.01
48.116, 32.199, 116.17
48.072, 32.290, 117.33
48.025, 32.380, 118.48
47.977, 32.468, 119.64
47.927, 32.556, 120.80
47.875, 32.643, 121.96
47.822, 32.729, 123.12
47.767, 32.814, 124.28
47.710, 32.897, 125.43
47.651, 32.979, 126.59
47.591, 33.061, 127.75
47.529, 33.141, 128.91
47.466, 33.219, 130.07
47.400, 33.297, 131.22
47.334, 33.373, 132.38
47.266, 33.447, 133.54
47.196, 33.520, 134.70
47.125, 33.592, 135.86
47.052, 33.663, 137.02
46.979, 33.732, 138.17
46.903, 33.799, 139.33
46.827, 33.865, 140.49
46.749, 33.929, 141.65
46.669, 33.992, 142.81
46.589, 34.053, 143.97
46.507, 34.112, 145.12
46.424, 34.170, 146.28
46.340, 34.226, 147.44
46.255, 34.281, 148.60
46.169, 34.333, 149.76
46.081, 34.384, 150.92
45.993, 34.433, 152.07
45.904, 34.481, 153.23
45.813, 34.526, 154.39
45.722, 34.570, 155.55
45.630, 34.612, 156.71
45.537, 34.652, 157.86
45.444, 34.690, 159.02
45.349, 34.726, 160.18
45.254, 34.760, 161.34
45.159, 34.793, 162.50
45.062, 34.823, 163.66
44.965, 34.852, 164.81
44.868, 34.878, 165.97
44.770, 34.903, 167.13
44.671, 34.925, 168.29
44.572, 34.946, 169.45
44.473, 34.964, 170.61
44.373, 34.981, 171.76
44.273, 34.995, 172.92
44.173, 35.007, 174.08
44.072, 35.018, 175.24
43.971, 35.026, 176.40
43.871, 35.033, 177.55
43.770, 35.037, 178.71
43.668, 35.039, 179.87
43.567, 35.039, -178.97
43.466, 35.038, -177.81
43.365, 35.034, -176.65
43.264, 35.028, -175.50
43.164, 35.020, -174.34
43.063, 35.010, -173.18
42.963, 34.998, -172.02
42.863, 34.984, -170.86
42.763, 34.968, -169.70
42.663, 34.950, -168.55
42.564, 34.930, -167.39
42.466, 34.908, -166.23
42.368, 34.884, -165.07
42.270, 34.858, -163.91
42.173, 34.830, -162.75
42.076, 34.800, -161.60
41.980, 34.768, -160.44
41.885, 34.734, -159.28
41.791, 34.698, -158.12
41.697, 34.660, -156.96
41.604, 34.621, -155.81
41.512, 34.579, -154.65
41.420, 34.536, -153.49
41.330, 34.491, -152.33
41.240, 34.444, -151.17
41.152, 34.395, -150.01
41.064, 34.345, -148.86
40.978, 34.293, -147.70
40.892, 34.239, -146.54
40.808, 34.183, -145.38
40.725, 34.125, -144.22
40.643, 34.066, -143.06
40.562, 34.006, -141.91
40.482, 33.943, -140.75
40.404, 33.879, -139.59
40.327, 33.814, -138.43
40.252, 33.747, -137.27
40.177, 33.678, -136.12
40.104, 33.608, -134.96
40.033, 33.537, -133.80
39.963, 33.464, -132.64
39.895, 33.389, -131.48
39.828, 33.314, -130.32
39.762, 33.236, -129.17
39.698, 33.158, -128.01
39.636, 33.078, -126.85
39.576, 32.998, -125.69
39.517, 32.915, -124.53
39.459, 32.832, -123.37
39.404, 32.748, -122.22
39.350, 32.662, -121.06
39.298, 32.576, -119.90
39.247, 32.488, -118.74
39.199, 32.399, -117.58
39.152, 32.310, -116.42
39.107, 32.219, -115.27
39.064, 32.128, -114.11
39.022, 32.036, -112.95
38.983, 31.943, -111.79
38.946, 31.849, -110.63
38.910, 31.754, -109.48
38.876, 31.659, -108.32
38.844, 31.563, -107.16
38.815, 31.466, -106.00
38.787, 31.369, -104.84
38.761, 31.272, -103.68
38.737, 31.173, -102.53
38.715, 31.075, -101.37
38.695, 30.976, 171.77
7.878, 35.433, -81.82
8.590, 30.484, 2.89
90.000, 34.588, 180.00
5.000, 34.588, 5.39
49.577, 38.796, -83.36
49.588, 38.695, -82.19
49.602, 38.595, -81.03
49.618, 38.495, -79.87
49.636, 38.395, -78.71
49.656, 38.296, -77.55
49.677, 38.197, -76.39
49.701, 38.098, -75.23
49.727, 38.000, -74.07
49.755, 37.903, -72.91
49.785, 37.806, -71.74
49.816, 37.710, -70.58
49.850, 37.614, -69.42
49.886, 37.520, -68.26
49.923, 37.425, -67.10
49.963, 37.332, -65.94
50.004, 37.240, -64.78
50.047, 37.148, -63.62
50.092, 37.057, -62.46
50.139, 36.967, -61.29
50.188, 36.878, -60.13
50.238, 36.791, -58.97
50.290, 36.704, -57.81
50.344, 36.618, -56.65
50.400, 36.533, -55.49
50.457, 36.450, -54.33
50.517, 36.368, -53.17
50.577, 36.286, -52.01
50.640, 36.207, -50.85
50.704, 36.128, -49.68
50.769, 36.051, -48.52
50.836, 35.975, -47.36
50.905, 35.900, -46.20
50.975, 35.827, -45.04
51.047, 35.756, -43.88
51.120, 35.685, -42.72
51.194, 35.617, -41.56
51.270, 35.549, -40.40
51.347, 35.484, -39.23
51.426, 35.420, -38.07
51.505, 35.357, -36.91
51.586, 35.296, -35.75
51.669, 35.237, -34.59
51.752, 35.180, -33.43
51.837, 35.124, -32.27
51.922, 35.070, -31.11
52.009, 35.017, -29.95
52.097, 34.967, -28.79
52.186, 34.918, -27.62
52.275, 34.871, -26.46
52.366, 34.826, -25.30
52.458, 34.782, -24.14
52.550, 34.741, -22.98
52.643, 34.701, -21.82
52.737, 34.664, -20.66
52.832, 34.628, -19.50
52.928, 34.594, -18.34
53.024, 34.562, -17.17
53.121, 34.532, -16.01
53.218, 34.505, -14.85
53.316, 34.479, -13.69
53.415, 34.455, -12.53
53.513, 34.433, -11.37
53.613, 34.413, -10.21
53.712, 34.395, -9.05
53.813, 34.379, -7.89
53.913, 34.365, -6.72
54.014, 34.353, -5.56
54.114, 34.343, -4.40
54.215, 34.335, -3.24
54.317, 34.330, -2.08
54.418, 34.326, -0.92
54.519, 34.324, 0.24
54.620, 34.325, 1.40
54.722, 34.327, 2.56
54.823, 34.332, 3.72
54.924, 34.338, 4.89
55.025, 34.347, 6.05
55.126, 34.358, 7.21
55.226, 34.370, 8.37
55.327, 34.385, 9.53
55.426, 34.402, 10.69
55.526, 34.421, 11.85
55.625, 34.442, 13.01
55.724, 34.464, 14.17
55.822, 34.489, 15.34
55.920, 34.516, 16.50
56.017, 34.545, 17.66
56.114, 34.575, 18.82
56.209, 34.608, 19.98
56.305, 34.643, 21.14
56.399, 34.679, 22.30
56.493, 34.718, 23.46
56.586, 34.758, 24.62
56.678, 34.800, 25.79
56.769, 34.844, 26.95
56.859, 34.890, 28.11
56.949, 34.938, 29.27
57.037, 34.988, 30.43
57.125, 35.039, 31.59
57.211, 35.092, 32.75
57.296, 35.147, 33.91
57.380, 35.203, 35.07
57.463, 35.262, 36.23
57.545, 35.321, 37.40
57.625, 35.383, 38.56
57.705, 35.446, 39.72
57.783, 35.511, 40.88
57.859, 35.577, 42.04
57.934, 35.645, 43.20
58.008, 35.714, 44.36
58.081, 35.785, 45.52
58.152, 35.857, 46.68
58.221, 35.931, 47.85
58.289, 36.006, 49.01
58.356, 36.083, 50.17
58.421, 36.161, 51.33
58.484, 36.240, 52.49
58.546, 36.320, 53.65
58.606, 36.402, 54.81
58.664, 36.484, 55.97
58.721, 36.568, 57.13
58.776, 36.654, 58.29
58.829, 36.740, 59.46
58.880, 36.827, 60.62
58.930, 36.915, 61.78
58.978, 37.005, 62.94
59.024, 37.095, 64.10
59.068, 37.186, 65.26
59.111, 37.278, 66.42
59.151, 37.371, 67.58
59.190, 37.464, 68.74
59.227, 37.559, 69.91
59.261, 37.654, 71.07
59.294, 37.750, 72.23
59.325, 37.846, 73.39
59.354, 37.943, 74.55
59.381, 38.041, 75.71
59.406, 38.139, 76.87
59.429, 38.238, 78.03
59.450, 38.337, 79.19
59.469, 38.437, 80.36
59.486, 38.537, 81.52
59.501, 38.637, 82.68
59.514, 38.737, -3.40
92.122, 36.802, 98.18
91.410, 41.751, -177.11
10.000, 37.647, 0.00
92.000, 37.647, -178.31
48.602, 36.369, 93.00
48.597, 36.470, 94.16
48.590, 36.570, 95.32
48.580, 36.671, 96.48
48.569, 36.772, 97.64
48.555, 36.872, 98.79
48.540, 36.972, 99.95
48.522, 37.071, 101.11
48.503, 37.170, 102.27
48.482, 37.269, 103.43
48.458, 37.367, 104.59
48.433, 37.465, 105.74
48.405, 37.562, 106.90
48.376, 37.659, 108.06
48.344, 37.755, 109.22
48.311, 37.851, 110.38
48.276, 37.945, 111.53
48.239, 38.040, 112.69
48.200, 38.133, 113.85
48.159, 38.225, 115.01
48.116, 38.317, 116.17
48.072, 38.408, 117.33
48.025, 38.497, 118.48
47.977, 38.586, 119.64
47.927, 38.674, 120.80
47.875, 38.761, 121.96
47.822, 38.847, 123.12
47.767, 38.931, 124.28
47.710, 39.015, 125.43
47.651, 39.097, 126.59
47.591, 39.178, 127.75
47.529, 39.258, 128.91
47.466, 39.337, 130.07
47.400, 39.414, 131.22
47.334, 39.490, 132.38
47.266, 39.565, 133.54
47.196, 39.638, 134.70
47.125, 39.710, 135.86
47.052, 39.780, 137.02
46.979, 39.849, 138.17
46.903, 39.917, 139.33
46.827, 39.983, 140.49
46.749, 40.047, 141.65
46.669, 40.110, 142.81
46.589, 40.171, 143.97
46.507, 40.230, 145.12
46.424, 40.288, 146.28
46.340, 40.344, 147.44
46.255, 40.398, 148.60
46.169, 40.451, 149.76
46.081, 40.502, 150.92
45.993, 40.551, 152.07
45.904, 40.598, 153.23
45.813, 40.644, 154.39
45.722, 40.688, 155.55
45.630, 40.729, 156.71
45.537, 40.769, 157.86
45.444, 40.808, 159.02
45.349, 40.844, 160.18
45.254, 40.878, 161.34
45.159, 40.910, 162.50
45.062, 40.941, 163.66
44.965, 40.969, 164.81
44.868, 40.996, 165.97
44.770, 41.020, 167.13
44.671, 41.043, 168.29
44.572, 41.063, 169.45
44.473, 41.082, 170.61
44.373, 41.098, 171.76
44.273, 41.113, 172.92
44.173, 41.125, 174.08
44.072, 41.136, 175.24
43.971, 41.144, 176.40
43.871, 41.150, 177.55
43.770, 41.155, 178.71
43.668, 41.157, 179.87
43.567, 41.157, -178.97
43.466, 41.155, -177.81
43.365, 41.151, -176.65
43.264, 41.146, -175.50
43.164, 41.138, -174.34
43.063, 41.128, -173.18
42.963, 41.116, -172.02
42.863, 41.102, -170.86
42.763, 41.086, -169.70
42.663, 41.067, -168.55
42.564, 41.047, -167.39
42.466, 41.025, -166.23
42.368, 41.001, -165.07
42.270, 40.975, -163.91
42.173, 40.947, -162.75
42.076, 40.917, -161.60
41.980, 40.885, -160.44
41.885, 40.852, -159.28
41.791, 40.816, -158.12
41.697, 40.778, -156.96
41.604, 40.739, -155.81
41.512, 40.697, -154.65
41.420, 40.654, -153.49
41.330, 40.609, -152.33
41.240, 40.562, -151.17
41.152, 40.513, -150.01
41.064, 40.463, -148.86
40.978, 40.410, -147.70
40.892, 40.356, -146.54
40.808, 40.301, -145.38
40.725, 40.243, -144.22
40.643, 40.184, -143.06
40.562, 40.123, -141.91
40.482, 40.061, -140.75
40.404, 39.997, -139.59
40.327, 39.931, -138.43
40.252, 39.864, -137.27
40.177, 39.796, -136.12
40.104, 39.726, -134.96
40.033, 39.654, -133.80
39.963, 39.581, -132.64
39.895, 39.507, -131.48
39.828, 39.431, -130.32
39.762, 39.354, -129.17
39.698, 39.276, -128.01
39.636, 39.196, -126.85
39.576, 39.115, -125.69
39.517, 39.033, -124.53
39.459, 38.950, -123.37
39.404, 38.865, -122.22
39.350, 38.780, -121.06
39.298, 38.693, -119.90
39.247, 38.606, -118.74
39.199, 38.517, -117.58
39.152, 38.428, -116.42
39.107, 38.337, -115.27
39.064, 38.246, -114.11
39.022, 38.153, -112.95
38.983, 38.060, -111.79
38.946, 37.966, -110.63
38.910, 37.872, -109.48
38.876, 37.777, -108.32
38.844, 37.681, -107.16
38.815, 37.584, -106.00
38.787, 37.487, -104.84
38.761, 37.389, -103.68
38.737, 37.291, -102.53
38.715, 37.192, -101.37
38.695, 37.093, 171.77
7.878, 41.551, -81.82
8.590, 36.602, 2.89
90.000, 40.706, 180.00
5.000, 40.706, 5.39
49.577, 44.914, -83.36
49.588, 44.813, -82.19
49.602, 44.713, -81.03
49.618, 44.613, -79.87
49.636, 44.513, -78.71
49.656, 44.413, -77.55
49.677, 44.315, -76.39
49.701, 44.216, -75.23
49.727, 44.118, -74.07
49.755, 44.021, -72.91
49.785, 43.924, -71.74
49.816, 43.828, -70.58
49.850, 43.732, -69.42
49.886, 43.637, -68.26
49.923, 43.543, -67.10
49.963, 43.450, -65.94
50.004, 43.357, -64.78
50.047, 43.266, -63.62
50.092, 43.175, -62.46
50.139, 43.085, -61.29
50.188, 42.996, -60.13
50.238, 42.908, -58.97
50.290, 42.821, -57.81
50.344, 42.736, -56.65
50.400, 42.651, -55.49
50.457, 42.568, -54.33
50.517, 42.485, -53.17
50.577, 42.404, -52.01
50.640, 42.324, -50.85
50.704, 42.246, -49.68
50.769, 42.168, -48.52
50.836, 42.093, -47.36
50.905, 42.018, -46.20
50.975, 41.945, -45.04
51.047, 41.873, -43.88
51.120, 41.803, -42.72
51.194, 41.734, -41.56
51.270, 41.667, -40.40
51.347, 41.601, -39.23
51.426, 41.537, -38.07
51.505, 41.475, -36.91
51.586, 41.414, -35.75
51.669, 41.355, -34.59
51.752, 41.297, -33.43
51.837, 41.241, -32.27
51.922, 41.187, -31.11
52.009, 41.135, -29.95
52.097, 41.084, -28.79
52.186, 41.036, -27.62
52.275, 40.989, -26.46
52.366, 40.943, -25.30
52.458, 40.900, -24.14
52.550, 40.859, -22.98
52.643, 40.819, -21.82
52.737, 40.781, -20.66
52.832, 40.746, -19.50
52.928, 40.712, -18.34
53.024, 40.680, -17.17
53.121, 40.650, -16.01
53.218, 40.622, -14.85
53.316, 40.596, -13.69
53.415, 40.572, -12.53
53.513, 40.550, -11.37
53.613, 40.530, -10.21
53.712, 40.512, -9.05
53.813, 40.496, -7.89
53.913, 40.482, -6.72
54.014, 40.471, -5.56
54.114, 40.461, -4.40
54.215, 40.453, -3.24
54.317, 40.447, -2.08
54.418, 40.444, -0.92
54.519, 40.442, 0.24
54.620, 40.442, 1.40
54.722, 40.445, 2.56
54.823, 40.449, 3.72
54.924, 40.456, 4.89
55.025, 40.465, 6.05
55.126, 40.475, 7.21
55.226, 40.488, 8.37
55.327, 40.503, 9.53
55.426, 40.520, 10.69
55.526, 40.538, 11.85
55.625, 40.559, 13.01
55.724, 40.582, 14.17
55.822, 40.607, 15.34
55.920, 40.634, 16.50
56.017, 40.662, 17.66
56.114, 40.693, 18.82
56.209, 40.726, 19.98
56.305, 40.760, 21.14
56.399, 40.797, 22.30
56.493, 40.835, 23.46
56.586, 40.876, 24.62
56.678, 40.918, 25.79
56.769, 40.962, 26.95
56.859, 41.008, 28.11
56.949, 41.056, 29.27
57.037, 41.105, 30.43
57.125, 41.157, 31.59
57.211, 41.210, 32.75
57.296, 41.264, 33.91
57.380, 41.321, 35.07
57.463, 41.379, 36.23
57.545, 41.439, 37.40
57.625, 41.501, 38.56
57.705, 41.564, 39.72
57.783, 41.628, 40.88
57.859, 41.695, 42.04
57.934, 41.763, 43.20
58.008, 41.832, 44.36
58.081, 41.903, 45.52
58.152, 41.975, 46.68
58.221, 42.049, 47.85
58.289, 42.124, 49.01
58.356, 42.200, 50.17
58.421, 42.278, 51.33
58.484, 42.357, 52.49
58.546, 42.438, 53.65
58.606, 42.519, 54.81
58.664, 42.602, 55.97
58.721, 42.686, 57.13
58.776, 42.771, 58.29
58.829, 42.857, 59.46
58.880, 42.945, 60.62
58.930, 43.033, 61.78
58.978, 43.122, 62.94
59.024, 43.212, 64.10
59.068, 43.304, 65.26
59.111, 43.396, 66.42
59.151, 43.488, 67.58
59.190, 43.582, 68.74
59.227, 43.677, 69.91
59.261, 43.772, 71.07
59.294, 43.868, 72.23
59.325, 43.964, 73.39
59.354, 44.061, 74.55
59.381, 44.159, 75.71
59.406, 44.257, 76.87
59.429, 44.356, 78.03
59.450, 44.455, 79.19
59.469, 44.554, 80.36
59.486, 44.654, 81.52
59.501, 44.754, 82.68
59.514, 44.855, -3.40
92.122, 42.920, 98.18
91.410, 47.869, -177.11
10.000, 43.765, 0.00
92.000, 43.765, -178.31
48.602, 42.486, 93.00
48.597, 42.587, 94.16
48.590, 42.688, 95.32
48.580, 42.789, 96.48
48.569, 42.889, 97.64
48.555, 42.989, 98.79
48.540, 43.089, 99.95
48.522, 43.189, 101.11
48.503, 43.288, 102.27
48.482, 43.387, 103.43
48.458, 43.485, 104.59
48.433, 43.583, 105.74
48.405, 43.680, 106.90
48.376, 43.777, 108.06
48.344, 43.873, 109.22
48.311, 43.968, 110.38
48.276, 44.063, 111.53
48.239, 44.157, 112.69
48.200, 44.250, 113.85
48.159, 44.343, 115.01
48.116, 44.434, 116.17
48.072, 44.525, 117.33
48.025, 44.615, 118.48
47.977, 44.704, 119.64
47.927, 44.792, 120.80
47.875, 44.878, 121.96
47.822, 44.964, 123.12
47.767, 45.049, 124.28
47.710, 45.132, 125.43
47.651, 45.215, 126.59
47.591, 45.296, 127.75
47.529, 45.376, 128.91
47.466, 45.454, 130.07
47.400, 45.532, 131.22
47.334, 45.608, 132.38
47.266, 45.682, 133.54
47.196, 45.756, 134.70
47.125, 45.828, 135.86
47.052, 45.898, 137.02
46.979, 45.967, 138.17
46.903, 46.034, 139.33
46.827, 46.100, 140.49
46.749, 46.164, 141.65
46.669, 46.227, 142.81
46.589, 46.288, 143.97
46.507, 46.348, 145.12
46.424, 46.406, 146.28
46.340, 46.462, 147.44
46.255, 46.516, 148.60
46.169, 46.569, 149.76
46.081, 46.620, 150.92
45.993, 46.669, 152.07
45.904, 46.716, 153.23
45.813, 46.762, 154.39
